Plugin,"String Key",English,"Hindi (hi)","Marathi (mr)","Swahili (sw)","Kannada (kn)"
theme_airpayux,presetfiles_desc,"Preset files can be used to dramatically alter the appearance of the theme. See <a href=""#"">Epsilon presets</a> for information on creating and sharing your own preset files, and see the <a href=""#"">Presets repository</a> for presets that others have shared.","थीम का लुक बदलने के लिए प्रीसेट फ़ाइलें इस्तेमाल करें।","थीमचे स्वरूप बदलण्यासाठी प्रीसेट फाइल्स वापरता येतात.","Faili za mipangilio zinaweza kubadilisha muonekano wa mandhari.","ಥೀಮ್ ನೋಟ ಬದಲಾಯಿಸಲು ಪ್ರೀಸೆಟ್ ಫೈಲ್‌ಗಳನ್ನು ಬಳಸಬಹುದು."
theme_airpayux,preset,"Theme preset","थीम प्रीसेट","थीम प्रीसेट","Mipangilio ya mandhari","ಥೀಮ್ ಪ್ರೀಸೆಟ್"
theme_airpayux,preset_desc,"Pick a preset to broadly change the look of the theme.","थीम का लुक बदलने के लिए प्रीसेट चुनें।","थीमचे स्वरूप बदलण्यासाठी प्रीसेट निवडा.","Chagua mipangilio kubadilisha muonekano wa mandhari.","ಥೀಮ್ ನೋಟ ಬದಲಾಯಿಸಲು ಪ್ರೀಸೆಟ್ ಆಯ್ಕೆ ಮಾಡಿ."
theme_airpayux,privacy:metadata,"The Epsilon theme does not store any personal data about any user.","Epsilon थीम किसी भी यूज़र का पर्सनल डेटा स्टोर नहीं करती।","Epsilon थीम कोणत्याही वापरकर्त्याबद्दल वैयक्तिक डेटा संग्रहित करत नाही.","Mandhari ya Epsilon haihifadhi data binafsi ya mtumiaji yeyote.","Epsilon ಥೀಮ್ ಯಾವುದೇ ಬಳಕೆದಾರರ ವೈಯಕ್ತಿಕ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುವುದಿಲ್ಲ."
theme_airpayux,rawscss,"Raw SCSS","रॉ SCSS","रॉ SCSS","SCSS safi","ರಾ SCSS"
theme_airpayux,rawscss_desc,"Use this field to provide SCSS or CSS code which will be injected at the end of the style sheet.","स्टाइलशीट के आखिर में इंजेक्ट होने वाला SCSS या CSS कोड।","स्टाइलशीटच्या शेवटी इंजेक्ट होणारा SCSS किंवा CSS कोड.","Msimbo wa SCSS au CSS utakaowekwa mwishoni mwa laha ya mtindo.","ಸ್ಟೈಲ್‌ಶೀಟ್ ಕೊನೆಯಲ್ಲಿ ಇಂಜೆಕ್ಟ್ ಆಗುವ SCSS ಅಥವಾ CSS ಕೋಡ್."
theme_airpayux,rawscsspre,"Raw initial SCSS","शुरुआती रॉ SCSS","प्रारंभिक रॉ SCSS","SCSS ya awali","ಆರಂಭಿಕ ರಾ SCSS"
theme_airpayux,rawscsspre_desc,"In this field you can provide initialising SCSS code, it will be injected before everything else. Most of the time you will use this setting to define variables.","बाकी सब से पहले इंजेक्ट होने वाला SCSS कोड, आमतौर पर वेरिएबल्स के लिए।","इतर सगळ्यापूर्वी इंजेक्ट होणारा SCSS कोड, सामान्यतः व्हेरिएबल्ससाठी.","Msimbo wa SCSS wa kuanzisha, utawekwa kabla ya kila kitu kingine.","ಎಲ್ಲದಕ್ಕಿಂತ ಮೊದಲು ಇಂಜೆಕ್ಟ್ ಆಗುವ SCSS ಕೋಡ್, ಸಾಮಾನ್ಯವಾಗಿ ವೇರಿಯೇಬಲ್‌ಗಳಿಗಾಗಿ."
theme_airpayux,region-side-pre,Right,दाएं,उजवीकडे,Kulia,ಬಲ
theme_airpayux,bodybgcolor,"Body bg color","बॉडी बैकग्राउंड रंग","बॉडी पार्श्वभूमी रंग","Rangi ya mandhari ya mwili","ಬಾಡಿ ಹಿನ್ನೆಲೆ ಬಣ್ಣ"
theme_airpayux,bodybgcolor_desc,"The color you added here will be affects as Body's background color","बॉडी के बैकग्राउंड का रंग","बॉडीच्या पार्श्वभूमीसाठी रंग","Rangi ya mandhari ya mwili","ಬಾಡಿಯ ಹಿನ್ನೆಲೆ ಬಣ್ಣ"
theme_airpayux,showfooter,"Show footer","फ़ुटर दिखाएं","फूटर दाखवा","Onyesha kijachini","ಅಡಿಟಿಪ್ಪಣಿ ತೋರಿಸಿ"
theme_airpayux,unaddableblocks,"Unneeded blocks","ज़रूरत नहीं वाले ब्लॉक्स","अनावश्यक ब्लॉक्स","Vizuizi visivyohitajika","ಅನಗತ್ಯ ಬ್ಲಾಕ್‌ಗಳು"
theme_airpayux,unaddableblocks_desc,"The blocks specified are not needed when using this theme and will not be listed in the 'Add a block' menu.","इस थीम के लिए ज़रूरत नहीं वाले ब्लॉक्स।","या थीमसाठी अनावश्यक ब्लॉक्स.","Vizuizi ambavyo havihitajiki kwa mandhari hii.","ಈ ಥೀಮ್‌ಗೆ ಅನಗತ್ಯ ಬ್ಲಾಕ್‌ಗಳು."
theme_airpayux,privacy:metadata:preference:draweropenblock,"The user's preference for hiding or showing the drawer with blocks.",,"ब्लॉक ड्रॉवर दाखवा/लपवा","Onyesha/Ficha droo ya vizuizi",
theme_airpayux,privacy:metadata:preference:draweropenindex,"The user's preference for hiding or showing the drawer with course index.",,"कोर्स इंडेक्स ड्रॉवर दाखवा/लपवा","Onyesha/Ficha droo ya fahirisi",
theme_airpayux,privacy:metadata:preference:draweropennav,"The user's preference for hiding or showing the drawer menu navigation.",,"नेव्हिगेशन ड्रॉवर दाखवा/लपवा","Onyesha/Ficha droo ya urambazaji",
theme_airpayux,privacy:drawerindexclosed,"The current preference for the index drawer is closed.",,"इंडेक्स ड्रॉवर बंद आहे.","Droo ya fahirisi imefungwa.",
theme_airpayux,privacy:drawerindexopen,"The current preference for the index drawer is open.",,"इंडेक्स ड्रॉवर उघडा आहे.","Droo ya fahirisi imefunguliwa.",
theme_airpayux,privacy:drawerblockclosed,"The current preference for the block drawer is closed.",,"ब्लॉक ड्रॉवर बंद आहे.","Droo ya vizuizi imefungwa.",
theme_airpayux,privacy:drawerblockopen,"The current preference for the block drawer is open.",,"ब्लॉक ड्रॉवर उघडा आहे.","Droo ya vizuizi imefunguliwa.",
theme_airpayux,privacy:drawernavclosed,"The current preference for the navigation drawer is closed.",,"नेव्हिगेशन ड्रॉवर बंद आहे.","Droo ya urambazaji imefungwa.",
theme_airpayux,privacy:drawernavopen,"The current preference for the navigation drawer is open.",,"नेव्हिगेशन ड्रॉवर उघडा आहे.","Droo ya urambazaji imefunguliwa.",
theme_airpayux,customscss,"Custom SCSS","कस्टम SCSS","कस्टम SCSS","SCSS maalum","ಕಸ್ಟಮ್ SCSS"
theme_airpayux,welcometext,"Welcome Text","स्वागत है","स्वागत आहे",Karibu,ಸ್ವಾಗತ
theme_airpayux,welcometext_desc,"Welcome Text  will be displayed on the login welcome text  (Length should be not Morethan 15 Characters","लॉगिन पेज पर दिखाई जाने वाला स्वागत टेक्स्ट","लॉगिन पेजवर दाखवला जाणारा स्वागत मजकूर","Maandishi ya kukaribisha kwenye ukurasa wa kuingia","ಲಾಗಿನ್ ಪುಟದಲ್ಲಿ ತೋರಿಸುವ ಸ್ವಾಗತ ಪಠ್ಯ"
theme_airpayux,logocaption,"Caption Text","कैप्शन टेक्स्ट","कॅप्शन मजकूर","Maandishi ya nembo","ಕ್ಯಾಪ್ಶನ್ ಪಠ್ಯ"
theme_airpayux,logocaptiondesc,"The Caption text That you want show in logo (Length Should be 80 Characters.)","लोगो के साथ दिखाया जाने वाला कैप्शन","लोगोसोबत दाखवायचा कॅप्शन मजकूर","Maandishi ya kuonyeshwa karibu na nembo","ಲೋಗೋ ಜೊತೆ ತೋರಿಸುವ ಕ್ಯಾಪ್ಶನ್"
theme_airpayux,logo,"Head Logo","हेडर लोगो","हेडर लोगो","Nembo ya kichwa","ಹೆಡರ್ ಲೋಗೋ"
theme_airpayux,logodesc,"The Logo you uploaded here will be displayed as a Logo in Header.","हेडर में दिखाई देने वाला लोगो।","हेडरमध्ये दिसणारा लोगो.","Nembo itakayoonyeshwa kwenye kichwa.","ಹೆಡರ್‌ನಲ್ಲಿ ಕಾಣಿಸುವ ಲೋಗೋ."
theme_airpayux,loginorder,"Login Form Order","लॉगिन फॉर्म की जगह","लॉगिन फॉर्म क्रम","Mpangilio wa fomu ya kuingia","ಲಾಗಿನ್ ಫಾರ್ಮ್ ಕ್ರಮ"
theme_airpayux,loginorder_desc,"You can make login form get placed left/right side based on your choice","लॉगिन फॉर्म को बाएं/दाएं रखें","लॉगिन फॉर्म डाव्या/उजव्या बाजूला ठेवा","Weka fomu upande wa kushoto/kulia","ಲಾಗಿನ್ ಫಾರ್ಮ್ ಎಡ/ಬಲಕ್ಕೆ ಇರಿಸಿ"
theme_airpayux,carousellogo,"Login Page Logo Right Side","लॉगिन पेज लोगो (दाएं)","लॉगिन पेज लोगो (उजवीकडे)","Nembo ya ukurasa wa kuingia (kulia)","ಲಾಗಿನ್ ಪುಟ ಲೋಗೋ (ಬಲ)"
theme_airpayux,carousellogo_desc,"The Logo you uploaded here will be displayed on Login Page Slider Right Side.","लॉगिन पेज के दाएं तरफ़ दिखने वाला लोगो।","लॉगिन पेजच्या उजव्या बाजूला दिसणारा लोगो.","Nembo kwenye upande wa kulia wa ukurasa wa kuingia.","ಲಾಗಿನ್ ಪುಟದ ಬಲ ಬದಿಯ ಲೋಗೋ."
theme_airpayux,loginlogo,"Page Login Logo Left Side","लॉगिन पेज लोगो (बाएं)","लॉगिन पेज लोगो (डावीकडे)","Nembo ya ukurasa wa kuingia (kushoto)","ಲಾಗಿನ್ ಪುಟ ಲೋಗೋ (ಎಡ)"
theme_airpayux,loginlogo_desc,"The Logo you uploaded here will be displayed on Login Page Life Side.","लॉगिन पेज के बाएं तरफ़ दिखने वाला लोगो।","लॉगिन पेजच्या डाव्या बाजूला दिसणारा लोगो.","Nembo kwenye upande wa kushoto wa ukurasa wa kuingia.","ಲಾಗಿನ್ ಪುಟದ ಎಡ ಬದಿಯ ಲೋಗೋ."
theme_airpayux,logindesc,"Login Desc","लॉगिन डिस्क्रिप्शन","लॉगिन वर्णन","Maelezo ya kuingia","ಲಾಗಿನ್ ವಿವರಣೆ"
theme_airpayux,logindesc_desc,"The Text you you want to be displayed under the Login page in slider side (Length should be not more than 600 characters).","लॉगिन पेज पर स्लाइडर साइड में दिखने वाला टेक्स्ट।","लॉगिन पेजवरील स्लायडर बाजूला दिसणारा मजकूर.","Maandishi yanayoonyeshwa kwenye sehemu ya slider ya ukurasa wa kuingia.","ಲಾಗಿನ್ ಪುಟದ ಸ್ಲೈಡರ್ ಬದಿಯಲ್ಲಿ ತೋರಿಸುವ ಪಠ್ಯ."
theme_airpayux,helpdesc,"Help Desc","हेल्प डिस्क्रिप्शन","मदत वर्णन","Maelezo ya msaada","ಸಹಾಯ ವಿವರಣೆ"
theme_airpayux,helpdesc_desc,"The Text you uploaded here will be displayed when you click on Help button on the Login page","लॉगिन पेज पर हेल्प बटन पर क्लिक करने पर दिखने वाला टेक्स्ट।","लॉगिन पेजवर मदत बटणावर क्लिक केल्यावर दिसणारा मजकूर.","Maandishi yanayoonyeshwa unapobonyeza kitufe cha Msaada.","ಸಹಾಯ ಬಟನ್ ಕ್ಲಿಕ್ ಮಾಡಿದಾಗ ತೋರಿಸುವ ಪಠ್ಯ."
theme_airpayux,contact,"Contact us Desc","हमसे संपर्क करें","आमच्याशी संपर्क साधा","Wasiliana nasi","ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ"
theme_airpayux,contact_desc,"The Text you uploaded here will be displayed when you click on Contact us button on the Login page","लॉगिन पेज पर संपर्क बटन पर क्लिक करने पर दिखने वाला टेक्स्ट।","लॉगिन पेजवर संपर्क बटणावर क्लिक केल्यावर दिसणारा मजकूर.","Maandishi yanayoonyeshwa unapobonyeza kitufe cha Wasiliana nasi.","ಸಂಪರ್ಕ ಬಟನ್ ಕ್ಲಿಕ್ ಮಾಡಿದಾಗ ತೋರಿಸುವ ಪಠ್ಯ."
theme_airpayux,aboutus,"About us Desc","हमारे बारे में",आमच्याबद्दल,"Kuhusu sisi","ನಮ್ಮ ಬಗ್ಗೆ"
theme_airpayux,aboutus_desc,"The Text you uploaded here will be displayed when you click on About us button on the Login page","लॉगिन पेज पर हमारे बारे में बटन पर क्लिक करने पर दिखने वाला टेक्स्ट।","लॉगिन पेजवर आमच्याबद्दल बटणावर क्लिक केल्यावर दिसणारा मजकूर.","Maandishi yanayoonyeshwa unapobonyeza kitufe cha Kuhusu sisi.","ನಮ್ಮ ಬಗ್ಗೆ ಬಟನ್ ಕ್ಲಿಕ್ ಮಾಡಿದಾಗ ತೋರಿಸುವ ಪಠ್ಯ."
theme_airpayux,slider1,"Login Slider1","लॉगिन स्लाइडर 1","लॉगिन स्लायडर १","Picha ya slider 1","ಸ್ಲೈಡರ್ 1"
theme_airpayux,slider1desc,"<p class=""m-0"">Webp format  Image is preffered for better performance </p>The uploaded image will displayed as first slider for login page only","लॉगिन पेज के लिए पहली स्लाइडर इमेज","लॉगिन पेजसाठी पहिले स्लायडर चित्र","Picha ya kwanza ya slider kwa ukurasa wa kuingia","ಲಾಗಿನ್ ಪುಟಕ್ಕೆ ಮೊದಲ ಸ್ಲೈಡರ್ ಚಿತ್ರ"
theme_airpayux,slider2,"Login Slider2","लॉगिन स्लाइडर 2","लॉगिन स्लायडर २","Picha ya slider 2","ಸ್ಲೈಡರ್ 2"
theme_airpayux,slider2desc,"<p class=""m-0"">Webp format  Image is preffered for better performance </p>The uploaded image will displayed as second slider for login page only","लॉगिन पेज के लिए दूसरी स्लाइडर इमेज","लॉगिन पेजसाठी दुसरे स्लायडर चित्र","Picha ya pili ya slider kwa ukurasa wa kuingia","ಲಾಗಿನ್ ಪುಟಕ್ಕೆ ಎರಡನೇ ಸ್ಲೈಡರ್ ಚಿತ್ರ"
theme_airpayux,slider3,"Login Slider3","लॉगिन स्लाइडर 3","लॉगिन स्लायडर ३","Picha ya slider 3","ಸ್ಲೈಡರ್ 3"
theme_airpayux,slider3desc,"<p class=""m-0"">Webp format  Image is preffered for better performance </p>The uploaded image will displayed as third slider for login page only","लॉगिन पेज के लिए तीसरी स्लाइडर इमेज","लॉगिन पेजसाठी तिसरे स्लायडर चित्र","Picha ya tatu ya slider kwa ukurasa wa kuingia","ಲಾಗಿನ್ ಪುಟಕ್ಕೆ ಮೂರನೇ ಸ್ಲೈಡರ್ ಚಿತ್ರ"
theme_airpayux,slider4,"Login Slider4","लॉगिन स्लाइडर 4","लॉगिन स्लायडर ४","Picha ya slider 4","ಸ್ಲೈಡರ್ 4"
theme_airpayux,slider4desc,"<p class=""m-0"">Webp format  Image is preffered for better performance </p>The uploaded image will displayed as fourth slider for login page only","लॉगिन पेज के लिए चौथी स्लाइडर इमेज","लॉगिन पेजसाठी चौथे स्लायडर चित्र","Picha ya nne ya slider kwa ukurasa wa kuingia","ಲಾಗಿನ್ ಪುಟಕ್ಕೆ ನಾಲ್ಕನೇ ಸ್ಲೈಡರ್ ಚಿತ್ರ"
theme_airpayux,slider5,"Login Slider5","लॉगिन स्लाइडर 5","लॉगिन स्लायडर ५","Picha ya slider 5","ಸ್ಲೈಡರ್ 5"
theme_airpayux,slider5desc,"<p class=""m-0"">Webp format  Image is preffered for better performance </p>The uploaded image will displayed as fifth slider for login page only","लॉगिन पेज के लिए पांचवीं स्लाइडर इमेज","लॉगिन पेजसाठी पाचवे स्लायडर चित्र","Picha ya tano ya slider kwa ukurasa wa kuingia","ಲಾಗಿನ್ ಪುಟಕ್ಕೆ ಐದನೇ ಸ್ಲೈಡರ್ ಚಿತ್ರ"
theme_airpayux,favicon,Favicon,फ़ेविकॉन,फेविकॉन,Favicon,ಫೆವಿಕಾನ್
theme_airpayux,favicondesc,"Your site’s “favourite icon”. Here, you may insert the favicon for your site.","अपनी साइट का फ़ेविकॉन यहां अपलोड करें।","तुमच्या साइटचे फेविकॉन इथे अपलोड करा.","Pakia favicon ya tovuti yako hapa.","ನಿಮ್ಮ ಸೈಟ್‌ನ ಫೆವಿಕಾನ್ ಅಪ್‌ಲೋಡ್ ಮಾಡಿ."
theme_airpayux,font,Font,फ़ॉन्ट,फॉन्ट,Fonti,ಫಾಂಟ್
theme_airpayux,font_desc,"Selected font will be applied through out the LMS.","चुना गया फ़ॉन्ट पूरे LMS में लगेगा।","निवडलेला फॉन्ट संपूर्ण LMS मध्ये लागू होईल.","Fonti iliyochaguliwa itatumika katika LMS yote.","ಆಯ್ಕೆ ಮಾಡಿದ ಫಾಂಟ್ ಇಡೀ LMS ನಲ್ಲಿ ಅನ್ವಯವಾಗುತ್ತದೆ."
theme_airpayux,leftmenu_dashboard,Dashboard,डैशबोर्ड,डॅशबोर्ड,Dashibodi,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್
theme_airpayux,leftmenu_adminstration,Administration,एडमिनिस्ट्रेशन,प्रशासन,Usimamizi,ಆಡಳಿತ
theme_airpayux,leftmenu_tm_dashboard,"My Team","मेरी टीम","माझी टीम","Timu Yangu","ನನ್ನ ತಂಡ"
theme_airpayux,showhideblocks,"Show/Hide blocks","ब्लॉक्स दिखाएं/छुपाएं","ब्लॉक्स दाखवा/लपवा","Onyesha/Ficha vizuizi","ಬ್ಲಾಕ್‌ಗಳನ್ನು ತೋರಿಸಿ/ಮರೆಮಾಡಿ"
theme_airpayux,leftmenu_gmleaderboard,Leaderboard,लीडरबोर्ड,लीडरबोर्ड,"Ubao wa Viongozi",ಲೀಡರ್‌ಬೋರ್ಡ್
theme_airpayux,region-layerone_full,"Layer one full width",,"लेयर एक पूर्ण रुंदी","Safu ya kwanza upana kamili",
theme_airpayux,region-layerone_one,"Layer one-one",,"लेयर एक-एक","Safu moja-moja",
theme_airpayux,region-layerone_two,"Layer one-two",,"लेयर एक-दोन","Safu moja-mbili",
theme_airpayux,region-layertwo_one,"Layer two-one",,"लेयर दोन-एक","Safu mbili-moja",
theme_airpayux,region-layertwo_two,"Layer two-two",,"लेयर दोन-दोन","Safu mbili-mbili",
theme_airpayux,region-layertwo_three,"Layer two-three",,"लेयर दोन-तीन","Safu mbili-tatu",
theme_airpayux,region-layertwo_four,"Layer two-four",,"लेयर दोन-चार","Safu mbili-nne",
theme_airpayux,region-teamoverview,Teamoverview,,"टीम विहंगावलोकन","Muhtasari wa Timu",
theme_airpayux,region-teamdetail_one,"Teamdetail one",,"टीम तपशील एक","Maelezo ya Timu moja",
theme_airpayux,region-teamdetail_two,"Teamdetail two",,"टीम तपशील दोन","Maelezo ya Timu mbili",
theme_airpayux,region-layerthree_one,"Layer three-one",,"लेयर तीन-एक","Safu tatu-moja",
theme_airpayux,region-layerthree_two,"Layer three-two",,"लेयर तीन-दोन","Safu tatu-mbili",
theme_airpayux,switchroleto,"Switch role to:","रोल बदलें:","भूमिका बदला:","Badilisha nafasi kuwa:","ಪಾತ್ರ ಬದಲಾಯಿಸಿ:"
theme_airpayux,switchroleas,"Switch role as ","इस रोल में बदलें ","भूमिका म्हणून बदला ","Badilisha nafasi kama ","ಪಾತ್ರವಾಗಿ ಬದಲಾಯಿಸಿ "
theme_airpayux,show_more_less,"Show more/less","और दिखाएं/कम दिखाएं","अधिक/कमी दाखवा","Onyesha zaidi/kidogo","ಹೆಚ್ಚು/ಕಡಿಮೆ ತೋರಿಸಿ"
theme_airpayux,theme_scheme,"Theme scheme","थीम स्कीम","थीम स्कीम","Mpango wa mandhari","ಥೀಮ್ ಸ್ಕೀಮ್"
theme_airpayux,theme_scheme_desc,"Theme scheme change this to bring lot of coloring changes to the site","साइट के रंग बदलने के लिए थीम स्कीम बदलें","साइटच्या रंग बदलण्यासाठी थीम स्कीम बदला","Badilisha mpango wa mandhari kubadilisha rangi za tovuti","ಸೈಟ್ ಬಣ್ಣಗಳನ್ನು ಬದಲಾಯಿಸಲು ಥೀಮ್ ಸ್ಕೀಮ್ ಬದಲಾಯಿಸಿ"
theme_airpayux,scheme_1,"Scheme 1","स्कीम 1","स्कीम १","Mpango 1",
theme_airpayux,scheme_2,"Scheme 2","स्कीम 2","स्कीम २","Mpango 2",
theme_airpayux,scheme_3,"Scheme 3","स्कीम 3","स्कीम ३","Mpango 3",
theme_airpayux,scheme_4,"Scheme 4","स्कीम 4","स्कीम ४","Mpango 4",
theme_airpayux,scheme_5,"Scheme 5","स्कीम 5","स्कीम ५","Mpango 5",
theme_airpayux,scheme_6,"Scheme 6","स्कीम 6","स्कीम ६","Mpango 6",
theme_airpayux,square,Square,चौकोर,चौकोनी,Mraba,ಚೌಕ
theme_airpayux,rounded,Circle,गोल,गोलाकार,Mviringo,ವೃತ್ತ
theme_airpayux,rounded-square,Rounded-square,गोल-चौकोर,गोलाकार-चौकोनी,Mraba-mviringo,ದುಂಡು-ಚೌಕ
theme_airpayux,customscheme,"Use custom scheme","कस्टम स्कीम इस्तेमाल करें","कस्टम स्कीम वापरा","Tumia mpango maalum","ಕಸ್ಟಮ್ ಸ್ಕೀಮ್ ಬಳಸಿ"
theme_airpayux,left_menu_requests,"Manage Requests","रिक्वेस्ट मैनेज करें","विनंत्या व्यवस्थापित करा","Simamia Maombi","ವಿನಂತಿಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
theme_airpayux,facebook,"Facebook URL","Facebook URL","Facebook URL","URL ya Facebook","Facebook URL"
theme_airpayux,facebookdesc,"The URL you added here will be the path for your Facebook page","आपके Facebook पेज का URL","तुमच्या Facebook पेजचा URL","URL ya ukurasa wako wa Facebook","ನಿಮ್ಮ Facebook ಪುಟದ URL"
theme_airpayux,twitter,"Twitter URL","Twitter URL","Twitter URL","URL ya Twitter","Twitter URL"
theme_airpayux,twitterdesc,"The URL you added here will be the path for your Twitter page","आपके Twitter पेज का URL","तुमच्या Twitter पेजचा URL","URL ya ukurasa wako wa Twitter","ನಿಮ್ಮ Twitter ಪುಟದ URL"
theme_airpayux,linkedin,linkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn
theme_airpayux,linkedindesc,"The URL you added here will be the path for your linkedIn page","आपके LinkedIn पेज का URL","तुमच्या LinkedIn पेजचा URL","URL ya ukurasa wako wa LinkedIn","ನಿಮ್ಮ LinkedIn ಪುಟದ URL"
theme_airpayux,youtube,"Youtube URL","Youtube URL","Youtube URL","URL ya Youtube","Youtube URL"
theme_airpayux,youtubedesc,"The URL you added here will be the path for your Youtube page","आपके Youtube चैनल का URL","तुमच्या Youtube चॅनेलचा URL","URL ya kituo chako cha Youtube","ನಿಮ್ಮ Youtube ಚಾನೆಲ್ URL"
theme_airpayux,instagram,"Instagram URL","Instagram URL","Instagram URL","URL ya Instagram","Instagram URL"
theme_airpayux,instagramdesc,"The URL you added here will be the path for your Instagram page","आपके Instagram पेज का URL","तुमच्या Instagram पेजचा URL","URL ya ukurasa wako wa Instagram","ನಿಮ್ಮ Instagram ಪುಟದ URL"
theme_airpayux,footerbgcolor,"Footer's bg color","फ़ुटर बैकग्राउंड रंग","फूटर पार्श्वभूमी रंग","Rangi ya mandhari ya kijachini","ಅಡಿಟಿಪ್ಪಣಿ ಹಿನ್ನೆಲೆ ಬಣ್ಣ"
theme_airpayux,footerbg_desc,"The color you added here will be affects as Footer's background color","फ़ुटर के बैकग्राउंड का रंग","फूटरच्या पार्श्वभूमीसाठी रंग","Rangi ya mandhari ya kijachini","ಅಡಿಟಿಪ್ಪಣಿಯ ಹಿನ್ನೆಲೆ ಬಣ್ಣ"
theme_airpayux,copyright,Copyright,कॉपीराइट,कॉपीराइट,Hakimiliki,ಹಕ್ಕುಸ್ವಾಮ್ಯ
theme_airpayux,copyrightdesc,"Whatever you add to this textarea will be displayed in the footer throughout your Moodle site, e.g. Copyright.","फ़ुटर में दिखने वाला कॉपीराइट टेक्स्ट।","फूटरमध्ये दिसणारा कॉपीराइट मजकूर.","Maandishi ya hakimiliki yatakayoonyeshwa kwenye kijachini.","ಅಡಿಟಿಪ್ಪಣಿಯಲ್ಲಿ ಕಾಣಿಸುವ ಹಕ್ಕುಸ್ವಾಮ್ಯ ಪಠ್ಯ."
theme_airpayux,employee,Employee,कर्मचारी,कर्मचारी,Mfanyakazi,ಉದ್ಯೋಗಿ
theme_airpayux,quickinfo,"Quick Info","क्विक इन्फ़ो","जलद माहिती","Taarifa za Haraka","ತ್ವರಿತ ಮಾಹಿತಿ"
theme_airpayux,quickinfodesc,"Quick Information","क्विक इन्फ़ो","जलद माहिती","Taarifa za haraka","ತ್ವರಿತ ಮಾಹಿತಿ"
theme_airpayux,quickinfo1,"Quick Info1","क्विक इन्फ़ो 1","जलद माहिती १","Taarifa ya Haraka 1",
theme_airpayux,quickinfo2,"Quick Info2","क्विक इन्फ़ो 2","जलद माहिती २","Taarifa ya Haraka 2",
theme_airpayux,quickinfo3,"Quick Info3","क्विक इन्फ़ो 3","जलद माहिती ३","Taarifa ya Haraka 3",
theme_airpayux,quickinfo4,"Quick Info4","क्विक इन्फ़ो 4","जलद माहिती ४","Taarifa ya Haraka 4",
theme_airpayux,quickinfo5,"Quick Info5","क्विक इन्फ़ो 5","जलद माहिती ५","Taarifa ya Haraka 5",
theme_airpayux,disable,Disable,बंद,बंद,Zima,ನಿಷ್ಕ್ರಿಯ
theme_airpayux,enable,Enable,चालू,चालू,Washa,ಸಕ್ರಿಯ
theme_airpayux,region-course-pre,"Course Pre","कोर्स प्री","कोर्स प्री","Kabla ya Kozi","ಕೋರ್ಸ್ ಪ್ರೀ"
theme_airpayux,quickaccess,"Quick Access","क्विक एक्सेस","जलद प्रवेश","Ufikiaji wa Haraka","ತ್ವರಿತ ಪ್ರವೇಶ"
theme_airpayux,home,Dashboard,डैशबोर्ड,डॅशबोर्ड,Dashibodi,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್
theme_airpayux,colorschemes,Colorschemes,"कलर स्कीम",रंगसंगती,"Mipango ya Rangi","ಬಣ್ಣ ಯೋಜನೆಗಳು"
theme_airpayux,phonenumber,"Mobile Number","मोबाइल नंबर","मोबाईल नंबर","Nambari ya Simu","ಮೊಬೈಲ್ ನಂಬರ್"
theme_airpayux,learnerlogin,"Enter Mobile Number","मोबाइल नंबर डालें","मोबाईल नंबर टाका","Weka Nambari ya Simu","ಮೊಬೈಲ್ ನಂಬರ್ ನಮೂದಿಸಿ"
theme_airpayux,enterotp,"Enter OTP","OTP डालें","OTP टाका","Weka OTP","OTP ನಮೂದಿಸಿ"
theme_airpayux,resentotp,"Resend OTP","OTP दोबारा भेजें","OTP पुन्हा पाठवा","Tuma OTP tena","OTP ಮರುಕಳಿಸಿ"
theme_airpayux,entermobileotp,"Entered mobile number is not exists, please check","डाला गया मोबाइल नंबर रजिस्टर्ड नहीं है, कृपया चेक करें","टाकलेला मोबाईल नंबर नोंदणीकृत नाही, कृपया तपासा","Nambari ya simu iliyowekwa haipo, tafadhali angalia","ನಮೂದಿಸಿದ ಮೊಬೈಲ್ ನಂಬರ್ ನೋಂದಾಯಿಸಿಲ್ಲ, ದಯವಿಟ್ಟು ಪರಿಶೀಲಿಸಿ"
